contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,potential_total_value_of_award,award_base_action_date,award_base_action_year,current_end_date,awarding_agency_name,awarding_sub_agency_name,funding_agency_name,funding_sub_agency_name,recipient_name,recipient_parent_name,recipient_city_name,recipient_state_code,recipient_zipcode,primary_place_of_performance_city_name,primary_place_of_performance_state_code,award_type,type_of_contract_pricing,product_or_service_code_description,naics_code,naics_description,number_of_offers_received,organizational_type,clean_recipient_name,clean_recipient_parent_name
CONT_AWD_W911QX13C0004_9700_-NONE-_-NONE-,W911QX13C0004,983986,0,0,2012-11-29,2013,2014-12-02,Department of Defense,Department of the Army,Department of Defense,Defense Advanced Research Projects Agency,EXQUADRUM INC,EXQUADRUM INC,ADELANTO,CA,92301,SAN DIEGO,CA,DCA,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,2,Unknown,EXQUADRUM,EXQUADRUM
CONT_AWD_GS00H13AAC0015_4705_-NONE-_-NONE-,GS00H13AAC0015,377234.86,0,0,2013-07-23,2013,2016-04-30,General Services Administration,Office of the Administrator,General Services Administration,Office of Government-wide Policy,"FACILITY ENGINEERING ASSOCIATES, P.C.","FACILITY ENGINEERING ASSOCIATES, P.C.",FAIRFAX,VA,22033,FAIRFAX,VA,DCA,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,FACILITY ENGINEERING ASSOCIATES PC,FACILITY ENGINEERING ASSOCIATES PC
CONT_AWD_0002_9700_N6600112D0110_9700,2,249479.55,249479.55,249479.55,2013-08-21,2013,2014-04-20,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,"FGM, INC.","NOVETTA SOLUTIONS, LLC",RESTON,VA,20190,SAN DIEGO,CA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,2,CORPORATE NOT TAX EXEMPT,FGM,NOVETTA SOLUTIONS
CONT_AWD_NS04_9700_N0017805D4334_9700,NS04,53514900.81,67385273,67385273,2013-03-08,2013,2018-03-07,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"G 2 SOFTWARE SYSTEMS, INC.",G 2 SOFTWARE SYSTEMS  INC.,SAN DIEGO,CA,92110,SAN DIEGO,CA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,7,Unknown,G 2 SOFTWARE SYSTEMS,G 2 SOFTWARE SYSTEMS
CONT_AWD_W91RUS13C0007_9700_-NONE-_-NONE-,W91RUS13C0007,14400950.18,16706545.57,16706545.57,2013-03-15,2013,2015-12-31,Department of Defense,Department of the Army,Department of Defense,Department of the Army,GAN CORPORATION,GAN CORPORATION,HUNTSVILLE,AL,35803,FORT HUACHUCA,AZ,DEFINITIVE CONTRACT,COST PLUS AWARD FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,5,OTHER,GAN,GAN
CONT_AWD_W911QX13C0040_9700_-NONE-_-NONE-,W911QX13C0040,149613,0,0,2013-02-01,2013,2014-03-31,Department of Defense,Department of the Army,Department of Defense,Defense Advanced Research Projects Agency,GEN9 INC.,GEN9 INC.,CAMBRIDGE,MA,2139,CAMBRIDGE,MA,DCA,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,2,Unknown,GEN9,GEN9
CONT_AWD_0010_9700_N6600111D0016_9700,10,195044.15,199989.48,199989.48,2013-04-18,2013,2014-04-18,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",GENERAL DYNAMICS CORP,SAN DIEGO,CA,92110,SAN DIEGO,CA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,GENERAL DYNAMICS INFORMATION TECHNOLOGY,GENERAL DYNAMICS
CONT_AWD_DTFAWA10D00021CALL0023_6920_DTFAWA10D00021_6920,DTFAWA10D00021CALL0023,2917249.82,2917249.82,4032333.06,2013-09-26,2013,2022-11-01,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP INC,ARLINGTON,VA,22201,ARLINGTON,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,CORPORATE NOT TAX EXEMPT,JACOBS ENGINEERING GROUP,JACOBS ENGINEERING GROUP
CONT_AWD_DTFAWA10D00021CALL0022_6920_DTFAWA10D00021_6920,DTFAWA10D00021CALL0022,35735.91,35735.91,35735.91,2013-08-12,2013,2015-06-29,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP INC,ARLINGTON,VA,22201,ARLINGTON,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,CORPORATE NOT TAX EXEMPT,JACOBS ENGINEERING GROUP,JACOBS ENGINEERING GROUP
CONT_AWD_DTFAWA10D00021CALL0021_6920_DTFAWA10D00021_6920,DTFAWA10D00021CALL0021,87753.88,87753.88,87753.88,2013-07-01,2013,2015-04-28,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP INC,ARLINGTON,VA,22201,ARLINGTON,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,CORPORATE NOT TAX EXEMPT,JACOBS ENGINEERING GROUP,JACOBS ENGINEERING GROUP
CONT_AWD_DTFAWA10D00021CALL0020_6920_DTFAWA10D00021_6920,DTFAWA10D00021CALL0020,194286.18,194286.18,194286.18,2013-06-20,2013,2015-04-28,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP INC,ARLINGTON,VA,22201,ARLINGTON,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,CORPORATE NOT TAX EXEMPT,JACOBS ENGINEERING GROUP,JACOBS ENGINEERING GROUP
CONT_AWD_DTFAWA10D00021CALL0019_6920_DTFAWA10D00021_6920,DTFAWA10D00021CALL0019,109569.3,109569.3,134579.3,2013-06-13,2013,2015-04-28,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP INC,ARLINGTON,VA,22201,ARLINGTON,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,CORPORATE NOT TAX EXEMPT,JACOBS ENGINEERING GROUP,JACOBS ENGINEERING GROUP
CONT_AWD_DTFAWA10D00021CALL0018_6920_DTFAWA10D00021_6920,DTFAWA10D00021CALL0018,636786.65,636786.65,636786.65,2013-05-20,2013,2020-12-15,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP INC,ARLINGTON,VA,22201,ARLINGTON,VA,DELIVERY ORDER,TIME AND MATERIALS,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,CORPORATE NOT TAX EXEMPT,JACOBS ENGINEERING GROUP,JACOBS ENGINEERING GROUP
CONT_AWD_DTFAWA10D00021CALL0017_6920_DTFAWA10D00021_6920,DTFAWA10D00021CALL0017,3752859,4347132,4347132,2013-02-13,2013,2023-08-10,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP INC,ARLINGTON,VA,22201,ARLINGTON,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,CORPORATE NOT TAX EXEMPT,JACOBS ENGINEERING GROUP,JACOBS ENGINEERING GROUP
CONT_AWD_DTFAWA10D00021CALL0016_6920_DTFAWA10D00021_6920,DTFAWA10D00021CALL0016,375303.95,375303.95,770485.59,2013-03-18,2013,2020-12-15,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP INC,ARLINGTON,VA,22201,FAIRFAX,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,CORPORATE NOT TAX EXEMPT,JACOBS ENGINEERING GROUP,JACOBS ENGINEERING GROUP
CONT_AWD_DTFAWA10D00021CALL0015_6920_DTFAWA10D00021_6920,DTFAWA10D00021CALL0015,16503960.99,16503960.99,16503960.99,2013-03-05,2013,2022-09-15,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP INC,ARLINGTON,VA,22201,FAIRFAX,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,CORPORATE NOT TAX EXEMPT,JACOBS ENGINEERING GROUP,JACOBS ENGINEERING GROUP
CONT_AWD_DTFAWA10D00021CALL0014_6920_DTFAWA10D00021_6920,DTFAWA10D00021CALL0014,27432.2,27432.2,27432.2,2013-02-07,2013,2015-04-28,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,JACOBS ENGINEERING GROUP INC.,JACOBS ENGINEERING GROUP INC,ARLINGTON,VA,22201,ARLINGTON,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,CORPORATE NOT TAX EXEMPT,JACOBS ENGINEERING GROUP,JACOBS ENGINEERING GROUP
CONT_AWD_0265_9700_N6893609D0040_9700,265,62652.66,0,0,2013-08-01,2013,2014-12-31,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,JACOBS TECHNOLOGY INC,JACOBS ENGINEERING GROUP INC,RIDGECREST,CA,93555,RIDGECREST,CA,DO,COST PLUS FIXED FEE,R&D- DEFENSE SYSTEM: AIRCRAFT (OPERATIONAL SYSTEMS DEVELOPMENT),541330,ENGINEERING SERVICES,5,Unknown,JACOBS TECHNOLOGY,JACOBS ENGINEERING GROUP
CONT_AWD_HT01_9700_N0017805D4397_9700,HT01,90787147.42,41998347.17,15489136.04,2013-02-15,2013,2016-08-17,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"J.F. TAYLOR, INC.","J.F. TAYLOR, INC.",LEXINGTON PARK,MD,20653,PATUXENT RIVER,MD,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,JF TAYLOR,JF TAYLOR
CONT_AWD_FA820213C0007_9700_-NONE-_-NONE-,FA820213C0007,2997655,0,0,2013-09-18,2013,2015-09-17,Department of Defense,Department of the Air Force,Department of Defense,Department of the Air Force,KIHOMAC INC,KIHOMAC INC,FAIRFAX,VA,22032,FAIRFAX,VA,DCA,FIRM FIXED PRICE,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,KIHOMAC,KIHOMAC
CONT_IDV_N6600113D0092_9700,N6600113D0092,0,0,0,2013-08-20,2013,,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"KOAM ENGINEERING SYSTEMS, INC.","KOAM ENGINEERING SYSTEMS, INC.",SAN DIEGO,CA,92123,Unknown,Unknown,Unknown,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,4,Unknown,KOAM ENGINEERING SYSTEMS,KOAM ENGINEERING SYSTEMS
CONT_AWD_9999_9700_N6600113D0092_9700,9999,0,0,0,2013-09-09,2013,2016-08-19,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,"KOAM ENGINEERING SYSTEMS, INC.","KOAM ENGINEERING SYSTEMS, INC.",SAN DIEGO,CA,92123,SAN DIEGO,CA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,KOAM ENGINEERING SYSTEMS,KOAM ENGINEERING SYSTEMS
CONT_AWD_0051_9700_N6600110D0124_9700,51,231746.35,259957.59,259957.59,2013-08-08,2013,2014-08-07,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,"KOAM ENGINEERING SYSTEMS, INC.","KOAM ENGINEERING SYSTEMS, INC.",SAN DIEGO,CA,92123,SAN DIEGO,CA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,CORPORATE NOT TAX EXEMPT,KOAM ENGINEERING SYSTEMS,KOAM ENGINEERING SYSTEMS
CONT_AWD_0026_9700_N6600109D0026_9700,26,105501.67,108403.25,108403.25,2013-05-09,2013,2014-05-08,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.","KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",SAN DIEGO,CA,92121,SAN DIEGO,CA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,KRATOS TECHNOLOGY TRAINING SOLUTIONS,KRATOS DEFENSE SECURITY SOLUTIONS
CONT_AWD_0025_9700_N6600109D0026_9700,25,105490.71,108403.25,108403.25,2013-05-09,2013,2014-05-08,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.","KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",SAN DIEGO,CA,92121,SAN DIEGO,CA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,KRATOS TECHNOLOGY TRAINING SOLUTIONS,KRATOS DEFENSE SECURITY SOLUTIONS
CONT_AWD_0062_9700_W91CRB11D0001_9700,62,7340304,0,0,2013-09-26,2013,2016-09-30,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",MCLEAN,VA,22102,HUNTSVILLE,AL,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_0056_9700_W91CRB11D0001_9700,56,412599.75,449181,449181,2013-09-25,2013,2014-09-24,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Army,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",MCLEAN,VA,22102,RESTON,VA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_0055_9700_W91CRB11D0001_9700,55,1235529,0,0,2013-09-18,2013,2015-02-28,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",MCLEAN,VA,22102,SAN DIEGO,CA,DO,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_0052_9700_W91CRB11D0001_9700,52,10816777.8,0,0,2013-09-13,2013,2015-09-19,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",MCLEAN,VA,22102,ALEXANDRIA,VA,DO,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_0051_9700_W91CRB11D0001_9700,51,4511883.86,4997207,4997207,2013-09-11,2013,2014-09-26,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Army,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",MCLEAN,VA,22102,RESTON,VA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_0050_9700_W91CRB11D0001_9700,50,1553646.05,2401894,2401894,2013-09-24,2013,2015-09-23,Department of Defense,Department of the Army,Department of Defense,Department of the Navy,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",MCLEAN,VA,22102,PANAMA CITY,FL,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_0049_9700_W91CRB11D0001_9700,49,19167884.73,19655180,19655180,2013-09-10,2013,2014-06-20,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Army,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",MCLEAN,VA,22102,RESTON,VA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_0043_9700_W91CRB11D0001_9700,43,1845402.8,1875170.1,1875170.1,2013-03-28,2013,2016-03-26,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Army,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",MCLEAN,VA,22102,RESTON,VA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_0041_9700_W91CRB11D0001_9700,41,3919571.92,4324185.07,4324185.07,2013-02-28,2013,2016-02-27,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Army,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",MCLEAN,VA,22102,RESTON,VA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_0038_9700_W91CRB11D0001_9700,38,1873961.94,1922980.94,1922980.94,2013-01-31,2013,2015-03-06,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Army,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",MCLEAN,VA,22102,RESTON,VA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_0036_9700_W91CRB11D0001_9700,36,4216334.48,6483219,6483219,2013-01-09,2013,2017-01-09,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",MCLEAN,VA,22102,KIRTLAND AFB,NM,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_W911QX13C0037_9700_-NONE-_-NONE-,W911QX13C0037,149999,0,0,2013-01-31,2013,2014-02-28,Department of Defense,Department of the Army,Department of Defense,Defense Advanced Research Projects Agency,LSP TECHNOLOGIES INC,LSP TECHNOLOGIES INC,DUBLIN,OH,43016,DUBLIN,OH,DCA,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,2,Unknown,LSP TECHNOLOGIES,LSP TECHNOLOGIES
CONT_AWD_W911QX13C0134_9700_-NONE-_-NONE-,W911QX13C0134,99999,0,0,2013-07-01,2013,2014-01-08,Department of Defense,Department of the Army,Department of Defense,Defense Advanced Research Projects Agency,MIDE TECHNOLOGY CORP,MIDE TECHNOLOGY CORP,MEDFORD,MA,2155,MEDFORD,MA,DCA,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,2,Unknown,MIDE TECHNOLOGY,MIDE TECHNOLOGY
CONT_AWD_NNJ13HC37P_8000_-NONE-_-NONE-,NNJ13HC37P,1497274,1497274,1497274,2013-08-09,2013,2017-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,MISSION SYSTEMS ORCHARD PARK INC,COBHAM PLC,ORCHARD PARK,NY,14127,ORCHARD PARK,NY,PURCHASE ORDER,FIRM FIXED PRICE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ADVANCED DEVELOPMENT),336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,1,CORPORATE NOT TAX EXEMPT,MISSION SYSTEMS ORCHARD PARK,COBHAM PLC
CONT_IDV_NNL14AA00B_8000,NNL14AA00B,7536497.75,0,9336881,2013-09-23,2013,,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,MODERN MACHINE AND TOOL COMPANY INCORPORATED,MODERN MACHINE AND TOOL COMPANY INCORPORATED,NEWPORT NEWS,VA,23606,Unknown,Unknown,Unknown,COST PLUS FIXED FEE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",2,OTHER,MODERN MACHINE AND TOOL COMPANY INCORPORATED,MODERN MACHINE AND TOOL COMPANY INCORPORATED
CONT_AWD_DTFAWA11D00051CALL0024_6920_DTFAWA11D00051_6920,DTFAWA11D00051CALL0024,12105817.87,12105817.87,35156900.41,2013-09-18,2013,2018-09-18,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,"NOBLIS, INC.","NOBLIS, INC.",FALLS CHURCH,VA,22042,FALLS CHURCH,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,Unknown,NOBLIS,NOBLIS
CONT_AWD_DTFAWA11D00051CALL0023_6920_DTFAWA11D00051_6920,DTFAWA11D00051CALL0023,4180012.67,0,0,2013-05-09,2013,2018-09-18,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,"NOBLIS, INC.","NOBLIS, INC.",FALLS CHURCH,VA,22042,FALLS CHURCH,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,3,Unknown,NOBLIS,NOBLIS
CONT_AWD_DTFAWA11D00051CALL0021_6920_DTFAWA11D00051_6920,DTFAWA11D00051CALL0021,480120.64,480120.64,980120.64,2013-02-01,2013,2018-09-18,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,"NOBLIS, INC.","NOBLIS, INC.",FALLS CHURCH,VA,22042,FALLS CHURCH,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,Unknown,NOBLIS,NOBLIS
CONT_AWD_DTFAWA11D00051CALL0020_6920_DTFAWA11D00051_6920,DTFAWA11D00051CALL0020,121686777.1,121686777.1,1114722596,2012-12-20,2013,2018-09-18,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,"NOBLIS, INC.","NOBLIS, INC.",FALLS CHURCH,VA,22042,FALLS CHURCH,VA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,0,Unknown,NOBLIS,NOBLIS
CONT_AWD_DTFAWN12F00012_6920_DEAM3609GO29039_8900,DTFAWN12F00012,5192681.29,5192681.29,10634761.15,2013-03-28,2013,2033-02-28,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,"NORESCO, LLC","NORESCO, LLC",WESTBOROUGH,MA,15813,WESTBOROUGH,MA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,3,OTHER,NORESCO,NORESCO
CONT_AWD_0004_9700_W91CRB11D0005_9700,4,2675841,0,0,2013-09-03,2013,2015-02-28,Department of Defense,Department of the Army,Department of Defense,Department of the Army,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,HERNDON,VA,20171,HERNDON,VA,DO,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN
CONT_AWD_N0042113C0007_9700_-NONE-_-NONE-,N0042113C0007,107248487,108095460.7,108095460.7,2013-01-07,2013,2014-09-23,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,PAE APPLIED TECHNOLOGIES LLC,COMPUTER SCIENCES CORPORATION,FORT WORTH,TX,76116,PATUXENT RIVER,MD,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,PAE APPLIED TECHNOLOGIES,COMPUTER SCIENCES
