company_name,year_founded,industries,hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,acquired_by,acquired_price,ipo_status,ipo_valuation,ipo_date,growth_confidence,growth_category,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors
nubii.us,2021,"Edutainment, Information Services, Information Technology, Internet, Software, Virtual Workforce","Miami, Florida, United States",33101,"nubii is a virtual space that gives context to remote experiences (remote spaces, remote events, remote schools, etc).",Active,127085,Seed,2020-08-30,Pre-Seed,,,Private,,,,,,10-Jan,1,150000,Antonio Moya-Angeler,1
Crypto Colo Center,2021,"Cryptocurrency, Information Technology, IT Infrastructure, Metaverse","Mclouth, Kansas, United States",66054,Crypto Colo Center offers and supports colocation services and metaverse infrastructure.,Active,134278,,2022-07-01,Debt Financing,,,Private,,,,,,10-Jan,1,1000000,,
DirtSat,2021,"Information Technology, Internet of Things","San Francisco, California, United States",94103,DirtSat is a data and software platform for commercial property owners to manage the conversion of their unused rooftop space to Biosolar,Active,150167,Seed,2023-06-20,Seed,,,Private,,,,,Less than $1M,10-Jan,1,150000,(ERA) Entrepreneurs Roundtable Accelerator,1
Kilsar,2021,"Artificial Intelligence (AI), Business Intelligence, Space Travel","Virginia Beach, Virginia, United States",23456,"Kilsar provides various services such as prototyping, developing, and commercializing innovative solutions.",Active,158767,Seed,2023-08-10,Pre-Seed,,,Private,,,,,,11-50,1,20000,Techstars,1
ORC Tech,2021,"Information Technology, Satellite Communication, Telecommunications, Wireless","Albuquerque, New Mexico, United States",87102,ORC Tech provides cell reception to try to eliminate the so-called “dead zones” in rural or undeveloped areas.,Active,163006,Seed,2022-05-31,Pre-Seed,,,Private,,,,,,10-Jan,2,35000,"New Mexico Economic Development Department, GOS Capital",2
Cislune,2021,"Aerospace, Space Travel","Los Angeles, California, United States",90001,Cislune is a company that creates excavators and rovers for usage on the lunar surface.,Active,176276,,2023-08-10,Grant,,,Private,,,,,,10-Jan,1,16000,NASA,1
PlatoData,2021,"Information Technology, Internet, Vertical Search, Web3","New York, New York, United States",10001,PlatoData offers a Web3 search platform connecting users to DeFi applications through a unified interface.,Active,758453,,,,,,Private,,,,,,10-Jan,,,,
Impact Local,2021,"Apps, Information Technology, Non Profit","New York, New York, United States",10001,Impact Local’s mobile platform connects users with local donating and volunteering opportunities in just a few clicks.,Active,889484,,,,,,Private,,,,,,10-Jan,,,,
Metta Space,2021,"Apps, Human Resources, Information Technology, Software","Los Angeles, California, United States",90001,Metta Space develops a B2B platform for workplace misconduct management.,Active,1094240,Seed,2022-11-07,Angel,,,Private,,,,,Less than $1M,10-Jan,1,,"Techstars, Techstars Workforce Development Accelerator",2
Arcanth,2021,"Graphic Design, Information Technology, Software","Boston, Massachusetts, United States",2115,"Arcanth is a Minecraft server offering unique game modes, a support hub, and community platforms.",Active,1307733,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Viridian Space,2021,"Aerospace, Manufacturing, Space Travel","Culver City, California, United States",90232,Viridian Space develops a propulsion technology intended to use oxygen to stay in ultra-low earth orbit.,Active,1395360,Seed,2024-06-13,Pre-Seed,,,Private,,,,,,10-Jan,1,,Seraphim Space,1
Elis,2021,"Consumer Research, Information Technology, Market Research, Product Research, Software","New York, New York, United States",10001,Elis helps companies find answers to the most important questions facing their business by using AI to collect customer insights.,Active,1469887,,2021-04-01,Undisclosed,,,Private,,,,,,10-Jan,1,,Precursor Ventures,1
Halo,2021,"Information Technology, Property Management, Real Estate, SaaS","Houston, Texas, United States",77001,"Halo is an IT company that provides SaaS and property management services to help real estate teams plan, market, and lease excess space.",Active,1947539,,,,,,Private,,,,,,11-50,,,,
Jigso,2022,"Artificial Intelligence (AI), Enterprise Software, Information Technology","New York, New York, United States",10001,"Jigso’s AI Business Observability Platform aggregates business apps and delivers data to employees, so they can focus on their core tasks.",Active,38821,Seed,,Seed,,,Private,,,,,,11-50,1,7500000,"General Catalyst, Entrée Capital, Jibe Ventures",3
Digs,2022,"Artificial Intelligence (AI), Construction, Smart Building","Vancouver, Washington, United States",98660,Digs uses AI to power experiences that unlock happier homes.,Active,40080,Seed,,Seed,,,Private,,,,,$1M to $10M,11-50,2,14000000,"Oregon Venture Fund, FUSE, Portland Seed Fund, GFR Fund, Cascade Seed Fund",9
Karman+,2022,"Aerospace, Robotics","Denver, Colorado, United States",80202,"We want to mine space resources from near-Earth asteroids to provide abundant, sustainable energy and resources in space and for Earth.",Active,61042,Seed,,Seed,,,Private,,,,Growing,,11-50,2,26000000,,
App0,2022,"Artificial Intelligence (AI), Communication Hardware, Information Technology, Messaging","Austin, Texas, United States",78701,App0 is an AI-powered customer engagement platform that automates workflows through messaging for enterprise applications.,Active,83809,Seed,,Seed,,,Private,,,,,,10-Jan,1,3875000,,
TRL11,2022,"Aerospace, Battery, Manufacturing, Sensor","Los Angeles, California, United States",90001,TRL11 is an aviation and aerospace component manufacturing company that provides next-generation technology solutions for the space economy.,Active,86561,Seed,,Non-equity Assistance,,,Private,,,,Growing,$1M to $10M,11-50,2,3000000,"Boost VC, Spacecadet Ventures, Anorak Ventures, Wonder Ventures, Catalyst Accelerator",7
Fleet Defender,2022,"Artificial Intelligence (AI), Fleet Management, Network Hardware, Network Security","Omaha, Nebraska, United States",68102,Fleet Defender is a vehicle cybersecurity company.,Active,93694,Seed,,Seed,,,Private,,,,,$1M to $10M,11-50,2,2025000,"Invest Nebraska, Amplify.LA",2
Mercator,2022,"Analytics, Information Technology, Software","San Francisco, California, United States",94103,Mercator is an AI-assisted data analytics software that specializes in the collection of tools for interacting with data in space.,Active,101876,Seed,,Pre-Seed,,,Private,,,,,,10-Jan,1,500000,Y Combinator,1
GATE Space,2022,Aerospace,"San Francisco, California, United States",94103,GATE Space is a developer of a technology designed to enable the next generation of space mobility.,Active,103667,Seed,,Pre-Seed,,,Private,,,,,,11-50,4,1752409,"Techstars, AWS Space Accelerator, David Niedermaier, Franz Viehböck",4
MyCoach AI,2022,"Artificial Intelligence (AI), Corporate Training, Health Care, Training","Lake Worth, Florida, United States",33460,MyCoach AI is a tech company that innovates and simplifies the health and wellness space.,Active,118662,Seed,,Seed,,,Private,,,,,,10-Jan,1,350000,,
eVertiSKY,2022,"Aerospace, Manufacturing","Chicago, Illinois, United States",60601,Aviation and Aerospace Component Manufacturing,Active,639593,,,,,,Private,,,,,,10-Jan,,,,
Rhythio Medical,2022,"Manufacturing, Medical, Medical Device","Houston, Texas, United States",77001,Rhythio Medical manufactures cardiology solutions that focuses on proactive technology for cardiac rhythm space.,Active,1369544,,,,,,Private,,,,,,10-Jan,,,,
Cadena,2022,"Advertising, Artificial Intelligence (AI), Blockchain, Generative AI","Los Angeles, California, United States",90001,Cadena is re-engineering the end-to-end creative advertising pipeline through a unique combination of predictive & generative AI.,Active,1394590,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
Loft Federal,2022,"Aerospace, Information Technology, Manufacturing","Golden, Colorado, United States",80401,Loft Federal is a manufacturer of aerospace and defense products.,Active,1793016,,,,,,Private,,,,,,,,,,
Ethos Space,2022,"Industrial, Manufacturing, Sharing Economy","Los Angeles, California, United States",90001,Ethos Space Resources is a company that operates in the space industry.,Active,1897061,Seed,,Pre-Seed,,,Private,,,,,,10-Jan,1,,Acequia Capital (AceCap),1
Parking Fit,2022,"Information Technology, Parking, Software","Flagstaff, Arizona, United States",86001,Parking Fit connects RV travelers with property owners offering extra parking space.,Active,1970532,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Hexabit,2022,"Blockchain, Business Development, Information Technology, Metaverse, Web3","Austin, Texas, United States",78701,"Hexabit offers marketing, online education, and blockchain development services.",Active,2019424,,,,,,Private,,,,,,11-50,,,,
Downmass,2022,"Aerospace, Industrial, Military, National Security, Space Travel","Los Angeles, California, United States",90001,Connecting life in space to life on Earth.,Active,3125826,,,,,,Private,,,,,,10-Jan,,,,
InSrv,2022,"Data Center, Data Storage, Information Technology","Mclean, Virginia, United States",22101,InSrv provides data center services planned to install infrastructure in the data center's white space.,Active,3235487,,,,,,Private,,,,,,10-Jan,,,,
Cove,2023,"Artificial Intelligence (AI), Information Technology, Web Development","Palo Alto, California, United States",94301,Cove is a visual AI collaboration space that helps users and their AI collaborator to design and plan ideas.,Active,25742,Seed,,Seed,,,Private,,,,,,10-Jan,1,6000000,"Sequoia Capital, Homebrew, Scott Belsky, Adverb Ventures, Lenny Rachitsky",7
Northwood Space,2023,Satellite Communication,"Allston, Massachusetts, United States",2134,Northwood Space is a hardware solution that expands the orbits and frequency ranges available from the ground for satellite communication.,Active,51329,Seed,,Seed,,,Private,,,,Growing,,11-50,2,6400000,"Andreessen Horowitz, Founders Fund, Long Journey Ventures, BoxGroup, Humba Ventures",7
Auriga Space,2023,"Aerospace, Government, Hardware, National Security, Space Travel","Los Angeles, California, United States",90001,"Next-generation space launch company providing efficient, clean and flexible transport to space",Active,68464,Seed,,Pre-Seed,,,Private,,,,Growing,$1M to $10M,10-Jan,1,5000000,"DNX Ventures, Seraphim Space, Trucks Venture Capital, Unlock Venture Partners, Monte Carlo Capital",7
Vista Space,2023,Information Technology,"San Francisco, California, United States",94103,Vista Space creates Tesla-inspired modular structural battery packs for spaceships.,Active,93635,Seed,,Pre-Seed,,,Private,,,,,,10-Jan,2,500000,"Y Combinator, 10 BOND",2
Figbox,2023,"Information Technology, Marketplace, Professional Networking, Software","Washington, District of Columbia, United States",20001,"Where problem solvers around the world connect, share expertise and build networks.",Active,126178,Seed,,Pre-Seed,,,Private,,,,,,10-Jan,1,250000,,
Apeiron Space,2023,"Aerospace, Natural Resources, Space Travel","Huntington Beach, California, United States",92648,"Apeiron is redefining launch services and space travel by creating a fully reusable, medium-to-heavy class launch vehicle.",Active,172045,Seed,,Pre-Seed,,,Private,,,,,,11-50,1,20000,Techstars,1
Tandem Space,2023,"Information Technology, Internet","San Francisco, California, United States",94103,Tandem Space provides facilitation of office space sharing to help hybrid work teams.,Active,555178,Seed,,Seed,,,Private,,,,,,10-Jan,1,,Pioneer Fund,1
Retroloop,2023,"E-Commerce, Furniture, Home Decor, Manufacturing, Retail","New York, New York, United States",10001,"Retroloop creates intentional home pieces inspired by the past, produced through planet-approved, modern practices.",Active,867581,,,,,,Private,,,,,,10-Jan,,,,
Charging Zoo,2023,"Charging Infrastructure, Electric Vehicle, Electronics, Manufacturing, Renewable Energy","San Diego, California, United States",92101,Charging Zoo provides electric vehicle charging solutions for drivers who want to switch to clean and sustainable transportation.,Active,1636900,,,,,,Private,,,,,,10-Jan,,,,
iRocket,2023,"Artificial Intelligence (AI), Content Marketing, Digital Marketing, Information Technology, SEO","San Diego, California, United States",92101,"iRocket offers content writing, SEO optimization, IT, marketing services, and develops reusable rocket technology.",Active,1637258,,,,,,Private,,,,,,11-50,,,,
Defense & Finance Tech,2023,Manufacturing,"Sheridan, Wyoming, United States",82801,Defense & Finance Tech is a defense and space manufacturing company.,Active,2849000,,,,,,Private,,,,,,10-Jan,,,,
Bifrost Orbital,2024,"Internet of Things, Manufacturing, Satellite Communication","San Francisco, California, United States",94103,24/7 and real-time connectivity for satellites,Active,36115,Seed,2024-10-03,Pre-Seed,,,Private,,,,,,10-Jan,3,652500,"Y Combinator, Unshackled Ventures, Tyler Cowen",3
N-ERGY,2024,"Advanced Materials, Industrial Automation, Manufacturing","Cambridge, Massachusetts, United States",2139,N-ERGY is a supplier that discovers and designs next-gen radiation resistant materials for space and nuclear applications.,Active,1839186,,,,,,Private,,,,,,10-Jan,,,,
Dailyala,2024,"Apps, Health Care, Information Technology","New York, New York, United States",10001,Dailyala is a self-improvement app that provides a track record to improve a healthy life.,Active,2855503,,,,,,Private,,,,,,10-Jan,,,,
GA AG Robotics,2015,"Agriculture, Electronics, Robotics","Vidalia, Georgia, United States",30474,GA AG Robotics is located in South Georgia in Vidalia Onion country.,Active,3235187,,,,,,Private,,,,,Less than $1M,11-50,,,,
Introspective Networks,2015,"Cyber Security, Information Technology","Broomfield, Colorado, United States",80020,Introspective Networks (IN) is a Cybersecurity company focusing on securing data in the network.,Active,2000599,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
PrivacyShell Corp,2015,"Clean Energy, Cryptocurrency, Cyber Security, Information Technology, Internet, Privacy, Software","San Francisco, California, United States",94103,We build crypto-blockchain startups that incorporate privacy & security by design.,Active,1036096,,,,,,Private,,,,,Less than $1M,11-50,,,,
Fleck Corporation,2015,"Information Technology, Mobile Apps, Parking","Berkeley, California, United States",21202,"Use your space when you need it, its yours, and make money off of it when you don't. For a greener and smarter city.",Closed,2275489,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
Tech Qualled,2015,"Career Planning, Developer Platform, Information Technology","Fort Worth, Texas, United States",75261,Tech Qualled enhances the lives of military veterans by training and placing them into rewarding roles in high technology.,Active,1253814,,,,,,Private,,,,,Less than $1M,11-50,,,,
Space Jam Data,2015,"Analytics, Artificial Intelligence (AI), Commercial Real Estate, Machine Learning, Real Estate","New York, New York, United States",10001,Space Jam uses consumer intelligence to help retail real estate professionals make better decisions,Active,1497940,,,,,,Private,,,,,,10-Jan,,,,
Emerge,2015,"Artificial Intelligence (AI), Augmented Reality, Consumer Electronics, Media and Entertainment, Social, Virtual Reality","Los Angeles, California, United States",90001,Emerge is a consumer technology company building a multi-sensory communication platform to bridge distance and time.,Active,17360,,2022-12-15,Venture - Series Unknown,,,Private,,,,,$50M to $100M,11-50,5,37500000,"Alumni Ventures, Soma Capital, M13, Afore Capital, Gaingels",30
Indee Labs,2015,"Biotechnology, Genetics, Manufacturing","San Francisco, California, United States",94103,Indee Labs is unlocking gene-modified cell therapy for the masses with scalable hardware for gene delivery.,Active,78144,Seed,2023-06-06,Non-equity Assistance,,,Private,,,,,Less than $1M,10-Jan,9,5064492,"Y Combinator, IndieBio, Founders Fund, Social Capital, Pioneer Fund",16
Columbia Space Initiative,2015,"Aerospace, Communities, Non Profit","New York, New York, United States",94103,Columbia Space Initiative is a student space technology and outreach club.,Active,1202386,,,,,,Private,,,,,$1M to $10M,11-50,,,,
AirSpeQ,2016,"Aerospace, Government, GreenTech, Health Diagnostics, Internet of Things, Nanotechnology, Pollution Control, Risk Management, Smart Building, Smart Home, Test and Measurement, Wearables","Berkeley, California, United States",98101,"Improving the world for animals, plants and people by commercializing sensors for fine and ultra fine airborne particulate matter detection.",Active,113408,,2019-09-11,Grant,,,Private,,,,,$1M to $10M,10-Jan,5,1394631,"National Science Foundation, National Institutes of Health, NASA",3
Quantum_AI Group Of Companies,2016,"3D Printing, Aerospace, Artificial Intelligence (AI), Data Center, Health Care, Industrial Engineering, Machine Learning, Manufacturing, Robotics, Software","San Francisco, California, United States",90001,"Quantum_AI Group Of Companies specializes in quantum computing platforms, cyber security, and software solutions.",Active,1315362,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
Advanced Core Concepts,2016,"Aerospace, Military, Product Management, Software","Atlanta, Georgia, United States",84111,"Advanced Core Concepts is providing solutions including research,technical services,products to the space,defense and intelligence markets.",Closed,1784355,,,,,,Private,,,,,,251-500,,,,
EndeavorVR,2016,"Consulting, Education, Information Technology","San Francisco, California, United States",97205,"Virtual Reality consultants for Startups, Enterprise, Education & Government focused on VR, AR and Frontier Technologies",Active,3204656,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
Global Crypto Press Association,2016,"Blockchain, Content, Cryptocurrency, Information Technology, Journalism, Media and Entertainment, News","San Francisco, California, United States",33701,"Bringing the latest news, honest reporting, and acclaimed investigative report from the cryptocurrency and blockchain world.",Active,200235,,,,,,Private,,,,Growing,,11-50,,,,
Language.ai,2016,"Artificial Intelligence (AI), Consulting, Information Technology, Machine Learning, Software","Chicago, Illinois, United States",98101,NLP / ML consulting and related SaaS linguistic annotation solutions.,Active,2233849,,,,,,Private,,,,,,10-Jan,,,,
Quantum_AI Advanced Robotics,2016,"Agriculture, Artificial Intelligence (AI), Industrial, Industrial Automation, Manufacturing, Robotics, Space Travel","Stanford, California, United States",90001,Quantum_AI Advanced Robotics specializes in advanced robots from Industrial Robots To Space Robotic Solutions.,Active,2105298,,,,,,Private,,,,,,10-Jan,,,,
Vaam,2016,"Apps, Communities, Education, Information Technology","Birmingham, Alabama, United States",94103,Vaam Is a designated space or hub for college students to have a common Idea of popular activities and trends.,Active,3401692,Seed,2018-03-13,Seed,,,Private,,,,,Less than $1M,10-Jan,1,,,
M33 Labs,2016,"Consumer Electronics, Information Technology, Web Design","Mesa, Arizona, United States",90001,Developing the next generation of the desktop computer. Space is the ultimate workspace experience.,Active,2265575,,2016-08-23,Non-equity Assistance,,,Private,,,,,Less than $1M,11-50,1,,eSeed Challenge,1
Nabla Zero Labs,2016,Aerospace,"Pasadena, California, United States",10001,Nabla Zero Labs is a Defense & Space company located in Pasadena.,Active,2331370,,,,,,Private,,,,,,10-Jan,,,,
New Ascent,2016,"Aerospace, EdTech, Space Travel, Transportation","Annapolis, Maryland, United States",80202,Redefining Launch from the Ground Up,Active,329356,Seed,2019-06-10,Non-equity Assistance,,,Private,,,,,Less than $1M,10-Jan,2,,Creative Destruction Lab (CDL),1
River Ecosystem,2016,"Consulting, Information Technology, Management Consulting, Professional Services","San Francisco, California, United States",10001,River Ecosystem is the center of the Frontier Technology startup ecosystem.,Active,2721857,,,,,,Private,,,,,,10-Jan,,,,
SocialMap,2016,"Artificial Intelligence (AI), Education, Human Resources, Information Technology, Machine Learning, Software","Boston, Massachusetts, United States",6477,Social Behavior Intelligence Platform for Education and Workplace,Active,3260077,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Envairo,2016,"CleanTech, Information Technology, Real Estate, Smart Building, Software","Brooklyn, New York, United States",50010,Envairo is a software platform that quantifies space use to optimize office buildings without installing new sensors.,Active,154929,Seed,2017-03-02,Pre-Seed,,,Private,,,,,Less than $1M,10-Jan,1,60000,"SOSV, URBAN-X",2
Envobius,2016,"Information Technology, Robotics, Transportation","San Francisco, California, United States",90001,"Envobius uses quantum engineered environments to provide faster, cheaper, safer and cleaner transportation through teleportation.",Closed,3407361,Seed,2017-05-10,Seed,,,Private,,,,,,,1,,,
Tellus Aerospace,2016,"Business Development, Commercial, Manufacturing","San Jose, California, United States",90001,Tellus Aerospace is a Aerospace Product and Parts Manufacturing Industry,Closed,3123544,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
LienIQ,2017,"Information Technology, Real Estate Investment","New York, New York, United States",78701,LienIQ decentralizes residential non-performing second lien analytics-based investing.,Active,1382340,,,,,,Private,,,,,,10-Jan,,,,
In-Video Impressions,2017,"Advertising, Fitness, Information Technology, Video","Durham, North Carolina, United States",80226,Utilizes innovative techniques to understand digital content interaction patterns to deliver ads with industry leading recency and relevancy,Active,1653731,Seed,2018-06-19,Seed,,,Private,,,,,,11-50,1,,Duke University,1
Clarke Global Marketing,2017,"Advertising, Consulting, Financial Services, FinTech, Information Technology, Internet","San Francisco, California, United States",78704,"Our digital-first strategies help companies in blockchain, FinTech, and cannabis with BD, IR, digital marketing, and overseas expansion.",Active,2021014,,,,,,Private,,,,,,10-Jan,,,,
Voice Tech AI by Score Publishing,2017,"Artificial Intelligence (AI), Publishing","Nashville, Tennessee, United States",14202,"Score Publishing is a multi-modal event, podcast, and publishing company with global reach in the voice tech and conversational AI fields.",Active,2217472,,,,,,Private,,,,,,10-Jan,,,,
Stratos Perception,2017,"Aerospace, Artificial Intelligence (AI), Service Industry","Houston, Texas, United States",20002,Stratos Perception provides elegant artificial intelligence solutions that enhance human productivity in space.,Active,3112931,,,,,,Private,,,,,,10-Jan,,,,
Early Stage Podcast,2017,"Information Technology, Podcast","Boston, Massachusetts, United States",96753,The Early Stage Podcast is devoted to interviewing top entrepreneurs at the seed and series A stages of their startups.,Active,3368467,,,,,,Private,,,,,,10-Jan,,,,
5D Vision,2017,"Consulting, Information Technology, Product Design, Software","Washington, District of Columbia, United States",7865,Product Innovation * Agile * Design Thinking,Active,448843,Seed,2017-01-20,Seed,,,Private,,,,,,10-Jan,1,,,
Quantum_AI Aerospace,2017,"Aerospace, Air Transportation, Artificial Intelligence (AI), Military, Space Travel","Stanford, California, United States",77002,"Disrupting Aerospace in Commercial Aircraft, Jet-Engines, Space Systems, and Hypersonics. We are working on the next level of innovations...",Active,3217844,,,,,,Private,,,,,,10-Jan,,,,
Albert Einstone's,2017,"Cannabis, Manufacturing","Los Angeles, California, United States",35810,"Albert Einstone's is a distribution, cultivation and manufacturing company that produces, develops and distributes products.",Active,1375485,,,,,,Private,,,,,Less than $1M,11-50,,,,
StoryFile,2017,"Information Technology, Natural Language Processing, Software, Video","Los Angeles, California, United States",10001,StoryFile is an information technology company that develops storytelling application to distribute stories and voices globally.,Active,33158,Seed,2021-06-09,Seed,,,Private,,,,Growing,$1M to $10M,51-100,3,9500000,"Synetro Group, The Seed Lab",2
Consolidated Machine & Tool,2017,"Industrial, Machinery Manufacturing, Manufacturing","Miami, Florida, United States",90245,Consolidated Machine & Tool is a special purpose entity specializing in precision machining and design of engineered components.,Active,20739,,2022-04-29,Venture - Series Unknown,,,Private,,,,,$10M to $50M,11-50,3,37739054,,
RedWorks Construction Technologies,2017,"3D Printing, Building Material, Construction, Green Building, Machinery Manufacturing, Manufacturing","Lancaster, California, United States",83814,RedWorks is creating construction 3D printers that can make stone building materials by sourcing dirt and sand found on-site.,Active,2496243,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
Chicago Connectory,2017,"Information Technology, Internet of Things, Training","Chicago, Illinois, United States",87102,Chicago Connectory is a co-creation space and IoT incubator.,Active,3406713,,,,,,Private,,,,,,10001+,,,,
Bubble Defense Systems.,2017,"Public Safety, Satellite Communication, Space Travel","San Francisco, California, United States",80202,[The Startup Journey That Led to The :Truth on-Earth],Active,3246804,,,,,,Private,,,,,,10-Jan,,,,
Precious Payload,2017,"Aerospace, Software","San Francisco, California, United States",34786,Precious Payload creates a deep collaboration tool for the space industry.,Active,105065,Seed,2020-09-01,Non-equity Assistance,,,Private,,,,Growing,$1M to $10M,11-50,5,1472000,"Creative Destruction Lab (CDL), Hub71, Mubadala Capital Ventures, Draper Associates, Tim Draper",8
Opus AI,2017,"Artificial Intelligence (AI), CRM, Human Resources, Information Technology, Machine Learning, Software","New York, New York, United States",90001,AI powered blind candidate screening,Closed,1698961,,,,,,Private,,,,,,10-Jan,,,,
Terra Space Technologies,2017,"Aerospace, Satellite Communication, Space Travel","Hawthorne, California, United States",43215,"Terra Space Technologies is an aerospace company that designs, manufactures and launches rockets and other spacecrafts.",Closed,157414,M&A,2019-10-08,Series A,Astronomical Research Center,,Private,,,,,,10-Jan,1,2000000,,
Near Space Labs,2017,"Aerospace, Computer Vision, Geospatial, Robotics, Software","Brooklyn, New York, United States",33304,Near Space Labs is an aerial imagery company that provides timely wide-scale imagery from the stratosphere at affordable prices.,Active,35216,,2023-01-01,Venture - Series Unknown,,,Private,,,,Growing,$10M to $50M,11-50,7,14500000,"Saniel Ventures, Crosslink Capital, Wireframe Ventures, Toyota Ventures, IAG Firemark Ventures",12
Matician,2017,"Autonomous Vehicles, Computer Vision, Consumer Electronics, Machine Learning, Robotics","Palo Alto, California, United States",77002,"Level-5, truly autonomous, computer vision-based robots that save people time and energy.",Active,388751,Seed,2019-01-01,Seed,,,Private,,,,,,51-100,1,,Twin Ventures,1
InScribe,2017,"Artificial Intelligence (AI), Corporate Training, Higher Education","Denver, Colorado, United States",80202,"InScribe is an AI supported Q&A platform that connects learners to the answers, resources, and individuals they need to succeed.",Active,312495,Seed,2020-04-30,Seed,,,Private,,,,,$10M to $50M,10-Jan,2,,"ECMC Foundation, LearnLaunch Fund + Accelerator",2
The High Note,2018,"Manufacturing, Packaging Services","Los Angeles, California, United States",80202,The High Note is a vertically integrated cannabis conglomerate.,Active,35417,,2018-11-26,Corporate Round,,,Private,,,,,,11-50,1,15000000,"Gotham Green Partners, Best Buds Funding",2
Orby,2018,"Analytics, Artificial Intelligence (AI), Drones, Robotics","Mountain View, California, United States",33139,Orby operates as a flying robotics company.,Active,108419,Seed,2022-08-02,Seed,,,Private,,,,,$1M to $10M,10-Jan,3,4499998,,
MindBuilder AI,2018,"Artificial Intelligence (AI), Consulting, Information Technology, Machine Learning, Software","Northville, Michigan, United States",88011,"Artificial Intelligence Consulting, Machine Learning Development, AI investment Due Diligence, Data Science Consulting",Active,142057,Seed,2020-05-01,Seed,,,Private,,,,,Less than $1M,11-50,1,50000,Ian Rowan,1
HausMart,2018,"Information Technology, Retail","Denver, Colorado, United States",7830,HausMart is a turnkey retail solution for entrepreneurial hosts looking to transform any trusted space into a retail environment.,Active,741017,,,,,,Private,,,,,,10-Jan,,,,
EtherSat,2018,"Blockchain, Satellite Communication","San Jose, California, United States",98105,"EtherSat is developing the EtherSat Protocol, an open source networking standard for ground to space communications.",Closed,2790634,,,,,,Private,,,,,Less than $1M,10-Jan,,,,
DrDojo,2018,"Biotechnology, Health Care, Information Technology, Medical, SaaS","New York, New York, United States",33139,Healthcare SaaS,Closed,3358710,,,,,,Private,,,,,,10-Jan,,,,
Richualist,2018,"3D Printing, Consumer Goods, E-Commerce, Electronics, Fashion, Health Care, Lifestyle, Manufacturing, Personal Health","Washington, District of Columbia, United States",32809,"THE MOST is revolutionizing the way women with textured hair manage and care for their tresses. We make styling fast, easy, and convenient.",Active,66312,Seed,2024-04-09,Seed,,,Private,,,,,$1M to $10M,10-Jan,5,2120000,"Techstars, EnrichHER, Mark Cuban, Revitalize Venture Studio, Black Star Fund",6
HUE.AI,2018,"Artificial Intelligence (AI), Eyewear, Machine Learning, Medical, Medical Device","Vienna, Virginia, United States",10025,HUE.AI uses artificial intelligence to create new products and efficiencies for the medical and optical industries.,Active,127297,Seed,2018-07-30,Seed,,,Private,,,,,$1M to $10M,11-50,1,1200000,"Big Red Ventures, Princeton Alumni Angels",2
Blocktistics,2018,"Cryptocurrency, Education, Financial Services, Information Technology, Market Research, News, Social Network","Cherry Hill, New Jersey, United States",20010,"Mobile App, Financial Services, Stock Market Research, Cryptocurrency Platform, Investment Research, News, Education",Active,2101866,,,,,,Private,,,,,,10-Jan,,,,
Zeda,2018,"3D Printing, Manufacturing, Medical Device","Fremont, California, United States",28278,"Zeda (frmly. PrinterPrezz/Vertex Manufacturing) provides advanced manufacturing services to medical, space, defense, & aerospace industries",Active,30635,Early Stage Venture,2023-03-07,Series B,,,Private,,,,Growing,$1M to $10M,51-100,4,84000000,"Michelin, Syensqo Ventures, Boutique Venture Partners, Berkeley Catalyst Fund (BCF), DOV Management",7
Birch Global,2018,"Banking, Blockchain, CRM, Crowdfunding, Cryptocurrency, Ethereum, Financial Services, FinTech, Information Technology, Venture Capital","Atlanta, Georgia, United States",30301,"We manage, empower, and grow early-stage ventures with high potential and upside in the cryptocurrency space.",Active,1008786,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Blue Fever,2018,"Information Technology, Mental Health, Social Media, Wellness","Los Angeles, California, United States",90001,"Blue Fever is a user-led, interactive community that provides young people with a safe space to care for their mental wellness.",Active,58415,,2022-06-17,Venture - Series Unknown,,,Private,,,,,$1M to $10M,11-50,6,7255110,"Techstars, Right Side Capital Management, Halogen Ventures, The W Fund, Howard Lindzon",8
Poppy AI,2018,"Artificial Intelligence (AI), Internet, Software","San Francisco, California, United States",94103,Poppy AI is an agency that creates pet emojis and designs them to be visually appealing.,Active,2043970,Seed,2023-03-15,Seed,,,Private,,,,,,10-Jan,1,,Global Brain Corporation,1
Warmintro,2018,"Artificial Intelligence (AI), Communities, Incubators, Lifestyle, Meeting Software, Private Social Networking, Social Media","San Francisco, California, United States",94103,"We host private online communities, giving them a hub to engage their members.",Active,1293156,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
